"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","Y mientras tanto en la entrada a Escuintla desde @Siva_Autopista 
// @Provial #TransitoGT #traficogt https://t.co/Rqj8t9Xogv",FALSE,0,NA,2019-10-19 21:52:22,FALSE,NA,"1185675081902690305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pancho9103",0,FALSE,FALSE,NA,NA
"19","Siempre los que se quieren pasar de listos    Empresa embotelladora reconocida hace el #traficogt",FALSE,0,NA,2019-10-19 21:41:27,FALSE,NA,"1185672333371027466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gdv502",0,FALSE,FALSE,NA,NA
"20","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 21:40:52,FALSE,NA,"1185672186905972738",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MayraSiliezar1",61,TRUE,FALSE,NA,NA
"21","RT @amilcarmontejo: Vapulearon a un hombre en Periférico sur, antes de puente Incienso #TransitoGT zona 3.

Reportan que transeúntes lo acu…",FALSE,0,NA,2019-10-19 21:37:57,FALSE,NA,"1185671450751094785",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rafisqui",7,TRUE,FALSE,NA,NA
"22","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 20:55:33,FALSE,NA,"1185660780068429826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","charly_cece",61,TRUE,FALSE,NA,NA
"23","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 20:52:49,FALSE,NA,"1185660094249340928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JGalindo79",61,TRUE,FALSE,NA,NA
"24","RT @amilcarmontejo: Auxilian a un hombre con herida en la mano, la cual se provocó al trabajar con una máquina. 

Bomberos realizan traslad…",FALSE,0,NA,2019-10-19 20:37:06,FALSE,NA,"1185656136525107203",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alehq80",2,TRUE,FALSE,NA,NA
"25","Auxilian a un hombre con herida en la mano, cuando trabajaba con una máquina.

Bomberos realizan traslado desde Pla… https://t.co/iHBIpbsIrt",FALSE,0,NA,2019-10-19 20:24:35,TRUE,NA,"1185652987085107201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cadenainfogt",0,FALSE,FALSE,NA,NA
"26","Auxilian a un hombre con herida en la mano, la cual se provocó al trabajar con una máquina. 

Bomberos realizan tra… https://t.co/UiepDQ8JRU",FALSE,13,NA,2019-10-19 20:22:12,TRUE,NA,"1185652390667653120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amilcarmontejo",2,FALSE,FALSE,NA,NA
"27","RT @JoseDreyfus: Choque no hay heridos anillo periferico y San Juan #traficogt @amilcarmontejo @CiudadPmt https://t.co/DBaDeALost",FALSE,0,NA,2019-10-19 20:15:36,FALSE,NA,"1185650729438138370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alehq80",5,TRUE,FALSE,NA,NA
